Functions found:
0x00000000    3     29 fcn.00000000

Disassembly (first 1000 instructions):
0x00000000   rflags:
0x00000000                 0200  add al, byte [rax]
0x00000002                 0000  add byte [rax], al
0x00000004           bd8a4b6c57  mov ebp, 0x576c4b8a
0x00000009               237e2b  and edi, dword [rsi + 0x2b]
0x0000000c         d087d48902bc  rol byte [rdi - 0x43fd762c], 1
0x00000012                   f9  stc
0x00000013                 731b  jae 0x30
0x00000015                   59  pop rcx
0x00000016                   9d  popfq
0x00000017                 e137  loope 0x50
0x00000019               642431  and al, 0x31
0x0000001c                   61  invalid
0x0000001d                   c6  invalid
0x0000001e                   92  xchg edx, eax
0x0000001f                   4e  invalid
0x00000020                   48  invalid
0x00000021                   16  invalid
0x00000022                   f1  int1
0x00000023                 14ff  adc al, 0xff
0x00000025                   ff  invalid
0x00000026                   ff  invalid
0x00000027                   ff  invalid
0x00000028                   ff  invalid
0x00000029                   ff  invalid
0x0000002a                   ff  invalid
0x0000002b                   ff  invalid
0x0000002c                   ff  invalid
0x0000002d                   ff  invalid
0x0000002e                   ff  invalid
0x0000002f                   ff  invalid
0x00000030                   ff  invalid
0x00000031                   ff  invalid
0x00000032                   ff  invalid
0x00000033                   ff  invalid
0x00000034                   ff  invalid
0x00000035                   ff  invalid
0x00000036                   ff  invalid
0x00000037                   ff  invalid
0x00000038                   ff  invalid
0x00000039                   ff  invalid
0x0000003a                   ff  invalid
0x0000003b                   ff  invalid
0x0000003c                   ff  invalid
0x0000003d                   ff  invalid
0x0000003e                   ff  invalid
0x0000003f                   ff  invalid
0x00000040                   ff  invalid
0x00000041                   ff  invalid
0x00000042                   ff  invalid
0x00000043                   ff  invalid
0x00000044                   ff  invalid
0x00000045                   ff  invalid
0x00000046                   ff  invalid
0x00000047                   ff  invalid
0x00000048                   ff  invalid
0x00000049                   ff  invalid
0x0000004a                   ff  invalid
0x0000004b                   ff  invalid
0x0000004c                   ff  invalid
0x0000004d                   ff  invalid
0x0000004e                   ff  invalid
0x0000004f                   ff  invalid
0x00000050                   ff  invalid
0x00000051                   ff  invalid
0x00000052                   ff  invalid
0x00000053                   ff  invalid
0x00000054                   ff  invalid
0x00000055                   ff  invalid
0x00000056                   ff  invalid
0x00000057                   ff  invalid
0x00000058                   ff  invalid
0x00000059                   ff  invalid
0x0000005a                   ff  invalid
0x0000005b                   ff  invalid
